prefix_1,prefix_2,prefix_3,stem,suffix_1,suffix_2,suffix_3,full_word
,,ስለ,ገዳይ,ስ,,,ስለገዳይስ
,,የ,ገዳይ,ኤ,ም,,የገዳይኤም
,,የ,ገዳይ,ኤ,ስ,,የገዳይኤስ
,,የ,ገዳይ,አችን,ም,,የገዳይአችንም
,,የ,ገዳይ,አችን,ስ,,የገዳይአችንስ
,,የ,ገዳይ,ህ,ም,,የገዳይህም
,,የ,ገዳይ,ህ,ስ,,የገዳይህስ
,,የ,ገዳይ,ሽ,ም,,የገዳይሽም
,,የ,ገዳይ,ሽ,ስ,,የገዳይሽስ
,,የ,ገዳይ,አችሁ,ም,,የገዳይአችሁም
,,የ,ገዳይ,አችሁ,ስ,,የገዳይአችሁስ
,,የ,ገዳይ,ኡ,ም,,የገዳይኡም
,,የ,ገዳይ,ኡ,ስ,,የገዳይኡስ
,,የ,ገዳይ,ኋ,ም,,የገዳይኋም
,,የ,ገዳይ,ኋ,ስ,,የገዳይኋስ
,,የ,ገዳይ,አቸው,ም,,የገዳይአቸውም
,,የ,ገዳይ,አቸው,ስ,,የገዳይአቸውስ
,,በ,ገዳይ,ኤ,ም,,በገዳይኤም
,,በ,ገዳይ,ኤ,ስ,,በገዳይኤስ
,,በ,ገዳይ,አችን,ም,,በገዳይአችንም
,,በ,ገዳይ,አችን,ስ,,በገዳይአችንስ
,,በ,ገዳይ,ህ,ም,,በገዳይህም
,,በ,ገዳይ,ህ,ስ,,በገዳይህስ
,,በ,ገዳይ,ሽ,ም,,በገዳይሽም
,,በ,ገዳይ,ሽ,ስ,,በገዳይሽስ
,,በ,ገዳይ,አችሁ,ም,,በገዳይአችሁም
,,በ,ገዳይ,አችሁ,ስ,,በገዳይአችሁስ
,,በ,ገዳይ,ኡ,ም,,በገዳይኡም
,,በ,ገዳይ,ኡ,ስ,,በገዳይኡስ
,,በ,ገዳይ,ኋ,ም,,በገዳይኋም
,,በ,ገዳይ,ኋ,ስ,,በገዳይኋስ
,,በ,ገዳይ,አቸው,ም,,በገዳይአቸውም
,,በ,ገዳይ,አቸው,ስ,,በገዳይአቸውስ
,,ከ,ገዳይ,ኤ,ም,,ከገዳይኤም
,,ከ,ገዳይ,ኤ,ስ,,ከገዳይኤስ
,,ከ,ገዳይ,አችን,ም,,ከገዳይአችንም
,,ከ,ገዳይ,አችን,ስ,,ከገዳይአችንስ
,,ከ,ገዳይ,ህ,ም,,ከገዳይህም
,,ከ,ገዳይ,ህ,ስ,,ከገዳይህስ
,,ከ,ገዳይ,ሽ,ም,,ከገዳይሽም
,,ከ,ገዳይ,ሽ,ስ,,ከገዳይሽስ
,,ከ,ገዳይ,አችሁ,ም,,ከገዳይአችሁም
,,ከ,ገዳይ,አችሁ,ስ,,ከገዳይአችሁስ
,,ከ,ገዳይ,ኡ,ም,,ከገዳይኡም
,,ከ,ገዳይ,ኡ,ስ,,ከገዳይኡስ
,,ከ,ገዳይ,ኋ,ም,,ከገዳይኋም
,,ከ,ገዳይ,ኋ,ስ,,ከገዳይኋስ
,,ከ,ገዳይ,አቸው,ም,,ከገዳይአቸውም
,,ከ,ገዳይ,አቸው,ስ,,ከገዳይአቸውስ
,,ስለ,ገዳይ,ኤ,ም,,ስለገዳይኤም
,,ስለ,ገዳይ,ኤ,ስ,,ስለገዳይኤስ
,,ስለ,ገዳይ,አችን,ም,,ስለገዳይአችንም
,,ስለ,ገዳይ,አችን,ስ,,ስለገዳይአችንስ
,,ስለ,ገዳይ,ህ,ም,,ስለገዳይህም
,,ስለ,ገዳይ,ህ,ስ,,ስለገዳይህስ
,,ስለ,ገዳይ,ሽ,ም,,ስለገዳይሽም
,,ስለ,ገዳይ,ሽ,ስ,,ስለገዳይሽስ
,,ስለ,ገዳይ,አችሁ,ም,,ስለገዳይአችሁም
,,ስለ,ገዳይ,አችሁ,ስ,,ስለገዳይአችሁስ
,,ስለ,ገዳይ,ኡ,ም,,ስለገዳይኡም
,,ስለ,ገዳይ,ኡ,ስ,,ስለገዳይኡስ
,,ስለ,ገዳይ,ኋ,ም,,ስለገዳይኋም
,,ስለ,ገዳይ,ኋ,ስ,,ስለገዳይኋስ
,,ስለ,ገዳይ,አቸው,ም,,ስለገዳይአቸውም
,,ስለ,ገዳይ,አቸው,ስ,,ስለገዳይአቸውስ
,,የ,ገዳይ,ኤ,ን,,የገዳይኤን
,,የ,ገዳይ,አችን,ን,,የገዳይአችንን
,,የ,ገዳይ,ህ,ን,,የገዳይህን
,,የ,ገዳይ,ሽ,ን,,የገዳይሽን
,,የ,ገዳይ,አችሁ,ን,,የገዳይአችሁን
,,የ,ገዳይ,ው,ን,,የገዳይውን
,,የ,ገዳይ,ዋ,ን,,የገዳይዋን
,,የ,ገዳይ,አቸው,ን,,የገዳይአቸውን
,የ,ተ,ገዳይ,ም,,,የተገዳይም
,የ,ተ,ገዳይ,ስ,,,የተገዳይስ
,በ,ተ,ገዳይ,ም,,,በተገዳይም
,በ,ተ,ገዳይ,ስ,,,በተገዳይስ
,ከ,ተ,ገዳይ,ም,,,ከተገዳይም
,ከ,ተ,ገዳይ,ስ,,,ከተገዳይስ
,ስለ,ተ,ገዳይ,ም,,,ስለተገዳይም
,ስለ,ተ,ገዳይ,ስ,,,ስለተገዳይስ
,የ,ተ,ገዳይ,ኤ,ም,,የተገዳይኤም
,የ,ተ,ገዳይ,ኤ,ስ,,የተገዳይኤስ
,የ,ተ,ገዳይ,አችን,ም,,የተገዳይአችንም
,የ,ተ,ገዳይ,አችን,ስ,,የተገዳይአችንስ
,የ,ተ,ገዳይ,ህ,ም,,የተገዳይህም
,የ,ተ,ገዳይ,ህ,ስ,,የተገዳይህስ
,የ,ተ,ገዳይ,ሽ,ም,,የተገዳይሽም
,የ,ተ,ገዳይ,ሽ,ስ,,የተገዳይሽስ
,የ,ተ,ገዳይ,አችሁ,ም,,የተገዳይአችሁም
,የ,ተ,ገዳይ,አችሁ,ስ,,የተገዳይአችሁስ
,የ,ተ,ገዳይ,ኡ,ም,,የተገዳይኡም
,የ,ተ,ገዳይ,ኡ,ስ,,የተገዳይኡስ
,የ,ተ,ገዳይ,ኋ,ም,,የተገዳይኋም
,የ,ተ,ገዳይ,ኋ,ስ,,የተገዳይኋስ
,የ,ተ,ገዳይ,አቸው,ም,,የተገዳይአቸውም
,የ,ተ,ገዳይ,አቸው,ስ,,የተገዳይአቸውስ
,በ,ተ,ገዳይ,ኤ,ም,,በተገዳይኤም
,በ,ተ,ገዳይ,ኤ,ስ,,በተገዳይኤስ
,በ,ተ,ገዳይ,አችን,ም,,በተገዳይአችንም
,በ,ተ,ገዳይ,አችን,ስ,,በተገዳይአችንስ
,በ,ተ,ገዳይ,ህ,ም,,በተገዳይህም
,በ,ተ,ገዳይ,ህ,ስ,,በተገዳይህስ
,በ,ተ,ገዳይ,ሽ,ም,,በተገዳይሽም
,በ,ተ,ገዳይ,ሽ,ስ,,በተገዳይሽስ
,በ,ተ,ገዳይ,አችሁ,ም,,በተገዳይአችሁም
,በ,ተ,ገዳይ,አችሁ,ስ,,በተገዳይአችሁስ
,በ,ተ,ገዳይ,ኡ,ም,,በተገዳይኡም
,በ,ተ,ገዳይ,ኡ,ስ,,በተገዳይኡስ
,በ,ተ,ገዳይ,ኋ,ም,,በተገዳይኋም
,በ,ተ,ገዳይ,ኋ,ስ,,በተገዳይኋስ
,በ,ተ,ገዳይ,አቸው,ም,,በተገዳይአቸውም
,በ,ተ,ገዳይ,አቸው,ስ,,በተገዳይአቸውስ
,ከ,ተ,ገዳይ,ኤ,ም,,ከተገዳይኤም
,ከ,ተ,ገዳይ,ኤ,ስ,,ከተገዳይኤስ
,ከ,ተ,ገዳይ,አችን,ም,,ከተገዳይአችንም
,ከ,ተ,ገዳይ,አችን,ስ,,ከተገዳይአችንስ
,ከ,ተ,ገዳይ,ህ,ም,,ከተገዳይህም
,ከ,ተ,ገዳይ,ህ,ስ,,ከተገዳይህስ
,ከ,ተ,ገዳይ,ሽ,ም,,ከተገዳይሽም
,ከ,ተ,ገዳይ,ሽ,ስ,,ከተገዳይሽስ
,ከ,ተ,ገዳይ,አችሁ,ም,,ከተገዳይአችሁም
,ከ,ተ,ገዳይ,አችሁ,ስ,,ከተገዳይአችሁስ
,ከ,ተ,ገዳይ,ኡ,ም,,ከተገዳይኡም
,ከ,ተ,ገዳይ,ኡ,ስ,,ከተገዳይኡስ
,ከ,ተ,ገዳይ,ኋ,ም,,ከተገዳይኋም
,ከ,ተ,ገዳይ,ኋ,ስ,,ከተገዳይኋስ
,ከ,ተ,ገዳይ,አቸው,ም,,ከተገዳይአቸውም
,ከ,ተ,ገዳይ,አቸው,ስ,,ከተገዳይአቸውስ
,ስለ,ተ,ገዳይ,ኤ,ም,,ስለተገዳይኤም
,ስለ,ተ,ገዳይ,ኤ,ስ,,ስለተገዳይኤስ
,ስለ,ተ,ገዳይ,አችን,ም,,ስለተገዳይአችንም
,ስለ,ተ,ገዳይ,አችን,ስ,,ስለተገዳይአችንስ
,ስለ,ተ,ገዳይ,ህ,ም,,ስለተገዳይህም
,ስለ,ተ,ገዳይ,ህ,ስ,,ስለተገዳይህስ
,ስለ,ተ,ገዳይ,ሽ,ም,,ስለተገዳይሽም
,ስለ,ተ,ገዳይ,ሽ,ስ,,ስለተገዳይሽስ
,ስለ,ተ,ገዳይ,አችሁ,ም,,ስለተገዳይአችሁም
,ስለ,ተ,ገዳይ,አችሁ,ስ,,ስለተገዳይአችሁስ
,ስለ,ተ,ገዳይ,ኡ,ም,,ስለተገዳይኡም
,ስለ,ተ,ገዳይ,ኡ,ስ,,ስለተገዳይኡስ
,ስለ,ተ,ገዳይ,ኋ,ም,,ስለተገዳይኋም
,ስለ,ተ,ገዳይ,ኋ,ስ,,ስለተገዳይኋስ
,ስለ,ተ,ገዳይ,አቸው,ም,,ስለተገዳይአቸውም
,ስለ,ተ,ገዳይ,አቸው,ስ,,ስለተገዳይአቸውስ
,የ,ተ,ገዳይ,ኤ,ን,,የተገዳይኤን
,የ,ተ,ገዳይ,አችን,ን,,የተገዳይአችንን
,የ,ተ,ገዳይ,ህ,ን,,የተገዳይህን
,የ,ተ,ገዳይ,ሽ,ን,,የተገዳይሽን
,የ,ተ,ገዳይ,አችሁ,ን,,የተገዳይአችሁን
,የ,ተ,ገዳይ,ው,ን,,የተገዳይውን
,የ,ተ,ገዳይ,ዋ,ን,,የተገዳይዋን
,የ,ተ,ገዳይ,አቸው,ን,,የተገዳይአቸውን
,,,ገድዬ,አለሁ,,,ገድዬአለሁ
,,,ገድል,ኧን,አል,,ገድልኧንአል
,,,ገድል,ኧህ,አል,,ገድልኧህአል
,,,ገድል,ኧሽ,አል,,ገድልኧሽአል
,,,ገድል,አችሁ,አል,,ገድልአችሁአል
,,,ገድል,ኦ,አል,,ገድልኦአል
,,,ገድል,ኧው,አል,,ገድልኧውአል
,,,ገድል,አ,አለች,,ገድልአአለች
,,,ገድዬ,ህ,አለሁ,,ገድዬህአለሁ
,,,ገድዬ,ሽ,አለሁ,,ገድዬሽአለሁ
,,,ገድዬ,አችሁ,አለሁ,,ገድዬአችሁአለሁ
,,,ገድዬ,ኧው,አለሁ,,ገድዬኧውአለሁ
,,,ገድዬ,አት,አለሁ,,ገድዬአትአለሁ
,,,ገድዬ,አቸው,አለሁ,,ገድዬአቸውአለሁ
,,,ገድል,ኧን,ህ,አል,ገድልኧንህአል
,,,ገድል,ኧን,ሽ,አል,ገድልኧንሽአል
,,,ገድል,ኧን,አችሁ,አል,ገድልኧንአችሁአል
,,,ገድል,ኧን,ኧው,አል,ገድልኧንኧውአል
,,,ገድል,ኧን,አት,አል,ገድልኧንአትአል
,,,ገድል,ኧን,አቸው,አል,ገድልኧንአቸውአል
,,,ገድል,ኧህ,ኧኝ,አል,ገድልኧህኧኝአል
,,,ገድል,ኧህ,ኧን,አል,ገድልኧህኧንአል
,,,ገድል,ኧህ,ኧው,አል,ገድልኧህኧውአል
,,,ገድል,ኧህ,አት,አል,ገድልኧህአትአል
,,,ገድል,ኧህ,አቸው,አል,ገድልኧህአቸውአል
,,,ገድል,ኧሽ,ኝ,አል,ገድልኧሽኝአል
,,,ገድል,ኧሽ,ን,አል,ገድልኧሽንአል
,,,ገድል,ኧሽ,ው,አል,ገድልኧሽውአል
,,,ገድል,ኧሽ,አት,አል,ገድልኧሽአትአል
,,,ገድል,ኧሽ,አቸው,አል,ገድልኧሽአቸውአል
,,,ገድል,አችሁ,ኝ,አል,ገድልአችሁኝአል
,,,ገድል,አችሁ,ን,አል,ገድልአችሁንአል
,,,ገድል,አችሁ,ት,አል,ገድልአችሁትአል
,,,ገድል,አችሁ,አት,አል,ገድልአችሁአትአል
,,,ገድል,አችሁ,አቸው,አል,ገድልአችሁአቸውአል
,,,ገድል,ኦ,ኝ,አል,ገድልኦኝአል
,,,ገድል,ኦ,ን,አል,ገድልኦንአል
,,,ገድል,ኦ,ህ,አል,ገድልኦህአል
,,,ገድል,ኦ,ሽ,አል,ገድልኦሽአል
,,,ገድል,ኦ,አችሁ,አል,ገድልኦአችሁአል
,,,ገድል,ኦ,ት,አል,ገድልኦትአል
,,,ገድል,ኦ,አት,አል,ገድልኦአትአል
,,,ገድል,ኦ,አቸው,አል,ገድልኦአቸውአል
,,,ገድል,ኧው,ኝ,አል,ገድልኧውኝአል
,,,ገድል,ኧው,ን,አል,ገድልኧውንአል
,,,ገድል,ኧው,ህ,አል,ገድልኧውህአል
,,,ገድል,ኧው,ሽ,አል,ገድልኧውሽአል
,,,ገድል,ኧው,አችሁ,አል,ገድልኧውአችሁአል
,,,ገድል,ኧው,ት,አል,ገድልኧውትአል
,,,ገድል,ኧው,አት,አል,ገድልኧውአትአል
,,,ገድል,ኧው,አቸው,አል,ገድልኧውአቸውአል
,,,ገድል,አ,ኝ,አለች,ገድልአኝአለች
,,,ገድል,አ,ን,አለች,ገድልአንአለች
,,,ገድል,አ,ህ,አለች,ገድልአህአለች
,,,ገድል,አ,ሽ,አለች,ገድልአሽአለች
,,,ገድል,አ,አችሁ,አለች,ገድልአአችሁአለች
,,,ገድል,አ,ው,አለች,ገድልአውአለች
,,,ገድል,አ,ት,አለች,ገድልአትአለች
,,,ገድል,አ,አቸው,አለች,ገድልአአቸውአለች
,,,ገድዬ,ብህ,አለሁ,,ገድዬብህአለሁ
,,,ገድዬ,ብሽ,አለሁ,,ገድዬብሽአለሁ
,,,ገድዬ,ባችሁ,አለሁ,,ገድዬባችሁአለሁ
,,,ገድዬ,በት,አለሁ,,ገድዬበትአለሁ
,,,ገድዬ,ባት,አለሁ,,ገድዬባትአለሁ
,,,ገድዬ,ባቸው,አለሁ,,ገድዬባቸውአለሁ
,,,ገድል,ኧን,ብህ,አለሁ,ገድልኧንብህአለሁ
,,,ገድል,ኧን,ብሽ,አለሁ,ገድልኧንብሽአለሁ
,,,ገድል,ኧን,ባችሁ,አለሁ,ገድልኧንባችሁአለሁ
,,,ገድል,ኧን,በት,አለሁ,ገድልኧንበትአለሁ
,,,ገድል,ኧን,ባት,አለሁ,ገድልኧንባትአለሁ
,,,ገድል,ኧን,ባቸው,አለሁ,ገድልኧንባቸውአለሁ
,,,ገድል,ኧህ,ብኝ,አል,ገድልኧህብኝአል
,,,ገድል,ኧህ,ብን,አል,ገድልኧህብንአል
,,,ገድል,ኧህ,በት,አል,ገድልኧህበትአል
,,,ገድል,ኧህ,ባት,አል,ገድልኧህባትአል
,,,ገድል,ኧህ,ባቸው,አል,ገድልኧህባቸውአል
,,,ገድል,ኧሽ,ብኝ,አል,ገድልኧሽብኝአል
,,,ገድል,ኧሽ,ብን,አል,ገድልኧሽብንአል
,,,ገድል,ኧሽ,በት,አል,ገድልኧሽበትአል
,,,ገድል,ኧሽ,ባት,አል,ገድልኧሽባትአል
,,,ገድል,ኧሽ,ባቸው,አል,ገድልኧሽባቸውአል
,,,ገድል,አችሁ,ብኝ,አል,ገድልአችሁብኝአል
,,,ገድል,አችሁ,ብን,አል,ገድልአችሁብንአል
,,,ገድል,አችሁ,በት,አል,ገድልአችሁበትአል
,,,ገድል,አችሁ,ባት,አል,ገድልአችሁባትአል
,,,ገድል,አችሁ,ባቸው,አል,ገድልአችሁባቸውአል
,,,ገድል,ኦ,ብኝ,አል,ገድልኦብኝአል
,,,ገድል,ኦ,ብን,አል,ገድልኦብንአል
,,,ገድል,ኦ,ብህ,አል,ገድልኦብህአል
,,,ገድል,ኦ,ብሽ,አል,ገድልኦብሽአል
,,,ገድል,ኦ,ባችሁ,አል,ገድልኦባችሁአል
,,,ገድል,ኦ,በት,አል,ገድልኦበትአል
,,,ገድል,ኦ,ባት,አል,ገድልኦባትአል
,,,ገድል,ኦ,ባቸው,አል,ገድልኦባቸውአል
,,,ገድል,ኧው,ብኝ,አል,ገድልኧውብኝአል
,,,ገድል,ኧው,ብን,አል,ገድልኧውብንአል
,,,ገድል,ኧው,ብህ,አል,ገድልኧውብህአል
,,,ገድል,ኧው,ብሽ,አል,ገድልኧውብሽአል
,,,ገድል,ኧው,ባችሁ,አል,ገድልኧውባችሁአል
,,,ገድል,ኧው,በት,አል,ገድልኧውበትአል
,,,ገድል,ኧው,ባት,አል,ገድልኧውባትአል
,,,ገድል,ኧው,ባቸው,አል,ገድልኧውባቸውአል
,,,ገድል,አ,ብኝ,አለች,ገድልአብኝአለች
,,,ገድል,አ,ብን,አለች,ገድልአብንአለች
,,,ገድል,አ,ብህ,አለች,ገድልአብህአለች
,,,ገድል,አ,ብሽ,አለች,ገድልአብሽአለች
,,,ገድል,አ,ባችሁ,አለች,ገድልአባችሁአለች
,,,ገድል,አ,በት,አለች,ገድልአበትአለች
,,,ገድል,አ,ባት,አለች,ገድልአባትአለች
,,,ገድል,አ,ባቸው,አለች,ገድልአባቸውአለች
,,አስ,ገድዬ,ህ,አለሁ,,አስገድዬህአለሁ
,,አስ,ገድዬ,ሽ,አለሁ,,አስገድዬሽአለሁ
,,አስ,ገድዬ,አችሁ,አለሁ,,አስገድዬአችሁአለሁ
,,አስ,ገድዬ,ኧው,አለሁ,,አስገድዬኧውአለሁ
,,አስ,ገድዬ,አት,አለሁ,,አስገድዬአትአለሁ
,,አስ,ገድዬ,አቸው,አለሁ,,አስገድዬአቸውአለሁ
,,አስ,ገድል,ኧን,ህ,አል,አስገድልኧንህአል
,,አስ,ገድል,ኧን,ሽ,አል,አስገድልኧንሽአል
,,አስ,ገድል,ኧን,አችሁ,አል,አስገድልኧንአችሁአል
,,አስ,ገድል,ኧን,ኧው,አል,አስገድልኧንኧውአል
,,አስ,ገድል,ኧን,አት,አል,አስገድልኧንአትአል
,,አስ,ገድል,ኧን,አቸው,አል,አስገድልኧንአቸውአል
,,አስ,ገድል,ኧህ,ኧኝ,አል,አስገድልኧህኧኝአል
,,አስ,ገድል,ኧህ,ኧን,አል,አስገድልኧህኧንአል
,,አስ,ገድል,ኧህ,ኧው,አል,አስገድልኧህኧውአል
,,አስ,ገድል,ኧህ,አት,አል,አስገድልኧህአትአል
,,አስ,ገድል,ኧህ,አቸው,አል,አስገድልኧህአቸውአል
,,አስ,ገድል,ኧሽ,ኝ,አል,አስገድልኧሽኝአል
,,አስ,ገድል,ኧሽ,ን,አል,አስገድልኧሽንአል
,,አስ,ገድል,ኧሽ,ው,አል,አስገድልኧሽውአል
,,አስ,ገድል,ኧሽ,አት,አል,አስገድልኧሽአትአል
,,አስ,ገድል,ኧሽ,አቸው,አል,አስገድልኧሽአቸውአል
,,አስ,ገድል,አችሁ,ኝ,አል,አስገድልአችሁኝአል
,,አስ,ገድል,አችሁ,ን,አል,አስገድልአችሁንአል
,,አስ,ገድል,አችሁ,ት,አል,አስገድልአችሁትአል
,,አስ,ገድል,አችሁ,አት,አል,አስገድልአችሁአትአል
,,አስ,ገድል,አችሁ,አቸው,አል,አስገድልአችሁአቸውአል
,,አስ,ገድል,ኦ,ኝ,አል,አስገድልኦኝአል
,,አስ,ገድል,ኦ,ን,አል,አስገድልኦንአል
,,አስ,ገድል,ኦ,ህ,አል,አስገድልኦህአል
,,አስ,ገድል,ኦ,ሽ,አል,አስገድልኦሽአል
,,አስ,ገድል,ኦ,አችሁ,አል,አስገድልኦአችሁአል
,,አስ,ገድል,ኦ,ት,አል,አስገድልኦትአል
,,አስ,ገድል,ኦ,አት,አል,አስገድልኦአትአል
,,አስ,ገድል,ኦ,አቸው,አል,አስገድልኦአቸውአል
,,አስ,ገድል,ኧው,ኝ,አል,አስገድልኧውኝአል
,,አስ,ገድል,ኧው,ን,አል,አስገድልኧውንአል
,,አስ,ገድል,ኧው,ህ,አል,አስገድልኧውህአል
,,አስ,ገድል,ኧው,ሽ,አል,አስገድልኧውሽአል
,,አስ,ገድል,ኧው,አችሁ,አል,አስገድልኧውአችሁአል
,,አስ,ገድል,ኧው,ት,አል,አስገድልኧውትአል
,,አስ,ገድል,ኧው,አት,አል,አስገድልኧውአትአል
,,አስ,ገድል,ኧው,አቸው,አል,አስገድልኧውአቸውአል
,,አስ,ገድል,አ,ኝ,አለች,አስገድልአኝአለች
,,አስ,ገድል,አ,ን,አለች,አስገድልአንአለች
,,አስ,ገድል,አ,ህ,አለች,አስገድልአህአለች
,,አስ,ገድል,አ,ሽ,አለች,አስገድልአሽአለች
,,አስ,ገድል,አ,አችሁ,አለች,አስገድልአአችሁአለች
,,አስ,ገድል,አ,ው,አለች,አስገድልአውአለች
,,አስ,ገድል,አ,ት,አለች,አስገድልአትአለች
,,አስ,ገድል,አ,አቸው,አለች,አስገድልአአቸውአለች
,,አስ,ገድዬ,ብህ,አለሁ,,አስገድዬብህአለሁ
,,አስ,ገድዬ,ብሽ,አለሁ,,አስገድዬብሽአለሁ
,,አስ,ገድዬ,ባችሁ,አለሁ,,አስገድዬባችሁአለሁ
,,አስ,ገድዬ,በት,አለሁ,,አስገድዬበትአለሁ
,,አስ,ገድዬ,ባት,አለሁ,,አስገድዬባትአለሁ
,,አስ,ገድዬ,ባቸው,አለሁ,,አስገድዬባቸውአለሁ
,,አስ,ገድል,ኧን,ብህ,አል,አስገድልኧንብህአል
,,አስ,ገድል,ኧን,ብሽ,አል,አስገድልኧንብሽአል
,,አስ,ገድል,ኧን,ባችሁ,አል,አስገድልኧንባችሁአል
,,አስ,ገድል,ኧን,በት,አል,አስገድልኧንበትአል
,,አስ,ገድል,ኧን,ባት,አል,አስገድልኧንባትአል
